Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 64.0.3282.186,,2018-03-15 01:47:05,2018-03-15 01:50:14,3m - 8.465s,FAILED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 01:47:06,2018-03-15 01:48:09,1m - 2.718s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 01:47:06,2018-03-15 01:47:10,3.304s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:47:10,2018-03-15 01:47:17,7.695s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:17,2018-03-15 01:47:18,0.572s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:18,2018-03-15 01:47:18,0.349s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:18,2018-03-15 01:47:19,0.606s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:47:19,2018-03-15 01:47:21,2.203s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:47:21,2018-03-15 01:47:22,0.403s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:22,2018-03-15 01:47:22,0.682s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:22,2018-03-15 01:47:22,0.218s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:22,2018-03-15 01:47:23,0.210s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:23,2018-03-15 01:47:23,0.162s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:23,2018-03-15 01:47:23,0.141s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:47:23,2018-03-15 01:47:23,0.431s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:23,2018-03-15 01:47:24,0.148s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:47:24,2018-03-15 01:47:24,0.155s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 01:47:24,2018-03-15 01:47:54,30.030s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:47:54,2018-03-15 01:47:56,2.544s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:56,2018-03-15 01:47:57,0.369s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:57,2018-03-15 01:47:57,0.236s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:57,2018-03-15 01:47:59,2.395s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:59,2018-03-15 01:48:06,6.619s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:06,2018-03-15 01:48:07,0.899s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:48:07,2018-03-15 01:48:08,1.398s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:48:08,2018-03-15 01:48:09,0.304s,FAILED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 01:48:09,2018-03-15 01:49:09,1m - 0.905s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 01:48:09,2018-03-15 01:48:12,3.512s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:48:12,2018-03-15 01:48:20,7.509s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:20,2018-03-15 01:48:20,0.326s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:20,2018-03-15 01:48:20,0.196s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:20,2018-03-15 01:48:20,0.358s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:48:20,2018-03-15 01:48:23,2.032s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:48:23,2018-03-15 01:48:23,0.366s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:48:23,2018-03-15 01:48:24,0.648s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:24,2018-03-15 01:48:24,0.216s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:24,2018-03-15 01:48:24,0.201s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:24,2018-03-15 01:48:24,0.181s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:48:24,2018-03-15 01:48:24,0.141s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:48:24,2018-03-15 01:48:25,0.512s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:48:25,2018-03-15 01:48:25,0.183s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:48:25,2018-03-15 01:48:25,0.015s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 01:48:25,2018-03-15 01:48:55,30.002s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:48:55,2018-03-15 01:48:57,2.126s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:57,2018-03-15 01:48:58,0.660s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:58,2018-03-15 01:48:58,0.193s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:48:58,2018-03-15 01:49:00,2.439s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:49:00,2018-03-15 01:49:07,6.476s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:49:07,2018-03-15 01:49:08,0.901s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:49:08,2018-03-15 01:49:09,1.358s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:49:09,2018-03-15 01:49:09,0.291s,FAILED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 01:49:09,2018-03-15 01:50:13,1m - 3.214s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 01:49:09,2018-03-15 01:49:13,3.942s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:49:13,2018-03-15 01:49:22,8.292s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:49:22,2018-03-15 01:49:22,0.257s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:49:22,2018-03-15 01:49:22,0.273s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:49:22,2018-03-15 01:49:23,0.349s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:49:23,2018-03-15 01:49:25,2.033s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:49:25,2018-03-15 01:49:25,0.342s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:49:25,2018-03-15 01:49:26,0.622s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:49:26,2018-03-15 01:49:26,0.186s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:49:26,2018-03-15 01:49:26,0.150s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:49:26,2018-03-15 01:49:26,0.148s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:49:26,2018-03-15 01:49:26,0.112s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:49:26,2018-03-15 01:49:27,0.371s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:49:27,2018-03-15 01:49:27,0.160s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:49:27,2018-03-15 01:49:27,0.008s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 01:49:27,2018-03-15 01:49:57,30.003s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:49:57,2018-03-15 01:49:59,2.246s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:49:59,2018-03-15 01:50:00,0.579s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:50:00,2018-03-15 01:50:00,0.198s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:50:00,2018-03-15 01:50:02,2.585s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:50:02,2018-03-15 01:50:09,7.095s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:50:09,2018-03-15 01:50:11,1.071s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:50:11,2018-03-15 01:50:12,1.848s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:50:12,2018-03-15 01:50:13,0.304s,FAILED
